title,viewCount,likeCount,dislikeCount,publishedAt
【 #みとらじ 】ゲストはアンジュさん！【月ノ美兎のギャラクティカラジオ】,178908,9954,51,2021-07-24T14:25:50Z
【Minecraft】JK組がにじさんじサーバーを探検する【月ノ美兎】,111700,5338,37,2021-07-22T13:46:51Z
【お料理ゲーム】刻む女【Cooking Simulator/にじさんじ/月ノ美兎】,100762,4747,20,2021-07-20T15:01:02Z
【オラ夏】きれいなおねいさんこと、月ノ美兎です【にじさんじ/月ノ美兎】,137808,4988,40,2021-07-19T14:50:40Z
月ノ美兎 - YouTube Music Weekend スペシャルライブ,188662,16918,68,2021-07-17T15:35:14Z
月ノ美兎「ウラノミト」MV（1stアルバム「月の兎はヴァーチュアルの夢をみる」収録曲）,281348,24919,77,2021-07-16T15:00:12Z
【どちらかを犠牲に】これがわたくしの「本質」…？【トロッコ問題 of アルマゲドン/にじさんじ/月ノ美兎】,115622,5114,105,2021-07-12T14:00:15Z
【実況】じ ご く の イ ン タ ー ネ ッ ツ【にじさんじ/月ノ美兎】,209660,6980,42,2021-07-08T15:06:32Z
【歌ってみた】アタシポンコツアンドロイド【 JuvveL / にじさんじ】,328461,19972,328,2021-07-07T10:00:13Z
【8人】お絵かき伝言ゲームやる！【Gartic Phone/1期生/にじさんじ/月ノ美兎】,206041,7144,39,2021-07-05T12:35:33Z
【#にじさんじVパチ】本戦出場！夢の中でパチンコする【にじさんじ/月ノ美兎】,677031,11276,129,2021-07-04T14:31:21Z
【#にじさんじVパチ】夢の中でパチンコする【にじさんじ/月ノ美兎】,394769,9402,97,2021-07-03T12:06:41Z
【雑談】この顔になった話など【重大発表もアリ】,226919,9011,60,2021-07-02T14:15:31Z
【リスナー参加型】お絵かき伝言ゲームの時間だゾ【Gartic Phone/にじさんじ/月ノ美兎】,211215,7159,78,2021-06-29T16:13:27Z
【VTuber最強運動会】ここが優勝者枠…ってコト！？【Play On Challenge】,111474,4262,50,2021-06-26T10:14:18Z
【罪】禁断の食物たちを、作ります【にじさんじ/月ノ美兎】,243199,8783,57,2021-06-22T12:28:34Z
【VTuber最強運動会トライアルマッチ】いくぞいくぞいくぞいくぞいくぞいくぞいくぞ【にじさんじ/月ノ美兎】,164480,5518,73,2021-06-19T11:03:58Z
【けっこう割といい感じにデカめで煌びやかな雰囲気のご報告】,175864,9238,84,2021-06-17T12:37:42Z
【AmongUs】第一被害者になる確率が80％の女【にじさんじ/月ノ美兎】,193874,6254,83,2021-06-14T17:35:50Z
【雑談】生きてたら色んなことがある【にじさんじ/月ノ美兎】,318634,11910,83,2021-06-14T14:34:14Z
【お手軽】罪深い創作料理を発表します【健康は保証しない】,339016,11679,68,2021-06-12T12:59:36Z
